name,address,pho,dhb,enrolled,accepting_patients,sa3_name,region,nz_dep,sa3_pop,sa3_maori_pct,sa3_pasifika_pct,nearest_ed,nearest_ed_km,nearest_afterhours,nearest_afterhours_km
"Hutt City Health Clinic","1/5 Raroa Road, Hutt Central, Lower Hutt 5010","Tū Ora Compass Health","Hutt Valley District Health Board",7350,true,"Hutt Centre","Wellington Region",3.6,8610,11.3,5.5,"Hutt Hospital Emergency Department",1.3,"Lower Hutt After Hours Medical Centre",0.4
"Plimmer Step Medical Centre","Level 2 AMI Plaza, 342 Lambton Quay, Wellington Central, Wellington 6011","Tū Ora Compass Health","Capital and Coast District Health Board",3100,true,"Wellington Central","Wellington Region",6,3018,10.7,4.6,"Wellington Hospital - Emergency Department",2.5,"Wellington Accident & Urgent Medical Centre",1.8
"Wicksteed Medical Centre","220 Wicksteed Street, Whanganui 4500","Whanganui Regional Health Network","Whanganui District Health Board",8000,true,"Whanganui Centre","Manawatū-Whanganui Region",9.4,5652,28.2,5.2,"Whanganui Hospital ED",2,"Whanganui Accident & Medical",2
"Taradale Medical Centre","24 Puketapu Road, Taradale, Napier 4112","Health Hawkes Bay","Hawkes Bay District Health Board",10498,true,"Taradale","Hawke's Bay Region",4,12858,14.3,2.3,"Hawkes Bay DHB - ED",10.2,"City Medical Urgent Care Napier",7.4
"Churton Park Medical Care","107C Westchester Drive, Churton Park, Wellington 6037","Tū Ora Compass Health","Capital and Coast District Health Board",7500,true,"Churton Park-Glenside","Wellington Region",1.5,8319,5.9,4.5,"Hutt Hospital Emergency Department",9.8,"Johnsonville Medical Centre",2.1
"Onslow Medical Centre","125 Moorefield Road, Johnsonville, Wellington 6037","Tū Ora Compass Health","Capital and Coast District Health Board",10264,true,"Johnsonville","Wellington Region",3.9,11520,10.9,6.5,"Wellington Hospital - Emergency Department",9,"Johnsonville Medical Centre",1
"Woodville Health Centre","49 Vogel Street, Woodville 4920","THINK Hauora","Mid Central District Health Board",14310,true,"Pahiatua-Woodville","Manawatū-Whanganui Region",7.6,7035,24.0,2.7,"Palmerston North Hospital Emergency Department",20.8,"City Doctors Palmerston North - Urgent Care & GP",21.1
"Carterton Medical Centre","163 High Street South, Carterton 5713","Tū Ora Compass Health","Wairarapa District Health Board",7191,true,"Carterton","Wellington Region",6,5856,15.9,2.9,"HVDHB  ED clinic",53.8,"Wairarapa After Hours Service",15.4
"Eastcott Medical","23 Clive Square West, Napier South, Napier 4110","Health Hawkes Bay","Hawkes Bay District Health Board",4217,true,"Napier Centre","Hawke's Bay Region",7.2,5040,23.6,3.6,"Hawkes Bay DHB - ED",16.8,"City Medical Urgent Care Napier",0.4
"Taitoko Health","17 Durham Street, Levin 5510","THINK Hauora","Mid Central District Health Board",4900,true,"Levin West","Manawatū-Whanganui Region",9.7,3945,32.5,10.6,"Palmerston North Hospital Emergency Department",42.8,"Team Medical",40.2
